CA	Piston position	D	E	F	G	H	I	J
316.30	15.017							
316.40	14.953							
316.50	14.889							
316.60	14.825							
316.70	14.761							
316.80	14.698							
316.90	14.634							
317.00	14.571							
317.10	14.507							
317.20	14.444							
317.30	14.381							
317.40	14.318							
317.50	14.255							
317.60	14.192							
317.70	14.129							
317.80	14.066							
317.90	14.004							
318.00	13.941							
318.10	13.879							
318.20	13.817							
318.30	13.755							
318.40	13.693							
318.50	13.631							
318.60	13.569							
318.70	13.507							
318.80	13.446							
318.90	13.384							
319.00	13.323							
319.10	13.262							
319.20	13.201							
319.30	13.140							
319.40	13.079							
319.50	13.018							
319.60	12.957							
319.70	12.897							
319.80	12.836							
319.90	12.776							
320.00	12.715							
320.10	12.655							
320.20	12.595							
320.30	12.535							
320.40	12.476							
320.50	12.416							
320.60	12.356							
320.70	12.297							
320.80	12.238							
320.90	12.178							
321.00	12.119							
321.10	12.060							
321.20	12.001							
321.30	11.943							
321.40	11.884							
321.50	11.826							
321.60	11.767							
321.70	11.709							
321.80	11.651							
321.90	11.593							
322.00	11.535							
322.10	11.477							
322.20	11.419							
322.30	11.362							
322.40	11.304							
322.50	11.247							
322.60	11.190							
322.70	11.133							
322.80	11.076							
322.90	11.019							
323.00	10.962							
323.10	10.905							
323.20	10.849							
323.30	10.792							
323.40	10.736							
323.50	10.680							
323.60	10.624							
323.70	10.568							
323.80	10.512							
323.90	10.457							
324.00	10.401							
324.10	10.346							
324.20	10.291							
324.30	10.235							
324.40	10.180							
324.50	10.126							
324.60	10.071							
324.70	10.016							
324.80	9.9616							
324.90	9.9072							
325.00	9.8530							
325.10	9.7988							
325.20	9.7448							
325.30	9.6909							
325.40	9.6371							
325.50	9.5835							
325.60	9.5300							
325.70	9.4766							
325.80	9.4234							
325.90	9.3702							
326.00	9.3172							
326.10	9.2644							
326.20	9.2116							
326.30	9.1590							
326.40	9.1065							
326.50	9.0542							
326.60	9.0020							
326.70	8.9499							
326.80	8.8979							
326.90	8.8461							
327.00	8.7944							
327.10	8.7428							
327.20	8.6914							
327.30	8.6401							
327.40	8.5889							
327.50	8.5379							
327.60	8.4869							
327.70	8.4362							
327.80	8.3855							
327.90	8.3350							
328.00	8.2846							
328.10	8.2344							
328.20	8.1843							
328.30	8.1343							
328.40	8.0845							
328.50	8.0347							
328.60	7.9852							
328.70	7.9357							
328.80	7.8864							
328.90	7.8372							
329.00	7.7882							
329.10	7.7393							
329.20	7.6905							
329.30	7.6419							
329.40	7.5934							
329.50	7.5451							
329.60	7.4969							
329.70	7.4488							
329.80	7.4008							
329.90	7.3530							
330.00	7.3054							
330.10	7.2578							
330.20	7.2104							
330.30	7.1632							
330.40	7.1161							
330.50	7.0691							
330.60	7.0222							
330.70	6.9755							
330.80	6.9290							
330.90	6.8826							
331.00	6.8363							
331.10	6.7901							
331.20	6.7441							
331.30	6.6983							
331.40	6.6526							
331.50	6.6070							
331.60	6.5616							
331.70	6.5163							
331.80	6.4711							
331.90	6.4261							
332.00	6.3812							
332.10	6.3365							
332.20	6.2919							
332.30	6.2475							
332.40	6.2032							
332.50	6.1590							
332.60	6.1150							
332.70	6.0711							
332.80	6.0274							
332.90	5.9838							
333.00	5.9404							
